date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:13	112653/112653	---M--	200	added ('OK')	image/png	etag:lwwe81lJXFBOwQDHT-aa3O3_BXoQAPogpS7WMc4-LRg	https://www.mrcooper.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fwoman-money-orange.f7b95463.png&w=1080&q=75	./mrcooper_website/www.mrcooper.com/_next/woman-money-oranged85a.png	(from https://www.mrcooper.com/)
15:28:13	1423/1423	---M--	200	added ('OK')	image/png	etag:Gjyxt800qOe5JJDfTFywTUGzcAigoF8UBBLpp3Hp9Jc	https://www.mrcooper.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fapp-store-icon.a72d4098.png&w=384&q=75	./mrcooper_website/www.mrcooper.com/_next/app-store-icon2eba.png	(from https://www.mrcooper.com/)
15:28:14	1716/1716	---M--	200	added ('OK')	image/png	etag:OM0rJ_QMbpkTc7r-jV-5B79XUfH_qAULzIpHyp3tVkU	https://www.mrcooper.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fgoogle-play-icon.fbf2aed0.png&w=384&q=75	./mrcooper_website/www.mrcooper.com/_next/google-play-icon41eb.png	(from https://www.mrcooper.com/)
15:28:16	287073/287073	---M--	200	added ('OK')	image/png	etag:z_fW-ZRfyWAkn5xWQCDTA0BKhMdtdMwnYFYk5TnYPRY	https://www.mrcooper.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fmrc-mobile-app.a8a21f93.png&w=3840&q=75	./mrcooper_website/www.mrcooper.com/_next/mrc-mobile-app0971.png	(from https://www.mrcooper.com/)
15:28:16	2403/2403	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22963-1961433f6c0%22	https://www.mrcooper.com/_next/static/media/testimonial-play-button.0baa3ee2.svg	./mrcooper_website/www.mrcooper.com/_next/static/media/testimonial-play-button.0baa3ee2.svg	(from https://www.mrcooper.com/)
15:28:17	12528/12528	---M--	200	added ('OK')	image/jpeg	etag:REfIGscusHDHTllYgKCD4ZmXuwKx0pquOheL_EIjGCs	https://www.mrcooper.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fmortgage-buydown.a1a006bc.jpeg&w=640&q=75	./mrcooper_website/www.mrcooper.com/_next/mortgage-buydown0472.jpeg	(from https://www.mrcooper.com/)
15:28:18	60011/60011	---M--	200	added ('OK')	image/jpeg	etag:Ge4tiYvxjQvbDyANjYzMRu4uLUBQCcBBmS3W4drMWNI	https://www.mrcooper.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fabout-va-loans.bfe9ad07.jpg&w=1920&q=75	./mrcooper_website/www.mrcooper.com/_next/about-va-loansb850.jpeg	(from https://www.mrcooper.com/)
15:28:19	83679/83679	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:18%20GMT	https://www.mrcooper.com/blog/what-is-a-mortgage-buydown/	./mrcooper_website/www.mrcooper.com/blog/what-is-a-mortgage-buydown/index.html	(from https://www.mrcooper.com/)
15:28:19	7628/7628	---M--	200	added ('OK')	image/jpeg	etag:f3knqOC46oj2pX7EBdK7eFgeJ4COL_MTJ3hHYJ7XWjU	https://www.mrcooper.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhome-equity-loans.657de3bd.jpeg&w=640&q=75	./mrcooper_website/www.mrcooper.com/_next/home-equity-loanse574.jpeg	(from https://www.mrcooper.com/)
15:28:20	676/676	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222a4-1961433f6c0%22	https://www.mrcooper.com/_next/static/media/ic-call-icon-md.c9186fab.svg	./mrcooper_website/www.mrcooper.com/_next/static/media/ic-call-icon-md.c9186fab.svg	(from https://www.mrcooper.com/)
15:28:21	694/694	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222b6-1961433f6c0%22	https://www.mrcooper.com/_next/static/media/ic-close.0801b789.svg	./mrcooper_website/www.mrcooper.com/_next/static/media/ic-close.0801b789.svg	(from https://www.mrcooper.com/)
15:28:23	78714/78714	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:20%20GMT	https://www.mrcooper.com/blog/how-do-home-equity-loans-work/	./mrcooper_website/www.mrcooper.com/blog/how-do-home-equity-loans-work/index.html	(from https://www.mrcooper.com/)
15:28:23	172383/172383	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:22%20GMT	https://www.mrcooper.com/about-us/overview	./mrcooper_website/www.mrcooper.com/about-us/overview.html	(from https://www.mrcooper.com/)
15:28:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20May%202025%2020:28:19%20GMT	https://www.mrcooper.com/blog/3-things-to-know-about-va-loans/	./mrcooper_website/www.mrcooper.com/blog/3-things-to-know-about-va-loans/index.html	(from https://www.mrcooper.com/)
15:28:25	81320/81320	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:23%20GMT	https://www.mrcooper.com/blog/	./mrcooper_website/www.mrcooper.com/blog/index.html	(from https://www.mrcooper.com/)
15:28:25	54909/54909	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:24%20GMT	https://www.mrcooper.com/sitemap	./mrcooper_website/www.mrcooper.com/sitemap.html	(from https://www.mrcooper.com/)
15:28:25	109415/109415	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:23%20GMT	https://www.mrcooper.com/help-center	./mrcooper_website/www.mrcooper.com/help-center.html	(from https://www.mrcooper.com/)
15:28:26	126817/126817	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:25%20GMT	https://www.mrcooper.com/correspondent	./mrcooper_website/www.mrcooper.com/correspondent.html	(from https://www.mrcooper.com/)
15:28:26	57/57	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20May%202025%2020:28:26%20GMT	https://www.mrcooper.com/get-started/agent-resources	./mrcooper_website/www.mrcooper.com/get-started/agent-resources	(from https://www.mrcooper.com/)
15:28:28	149994/149994	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:27%20GMT	https://www.mrcooper.com/agent-resources	./mrcooper_website/www.mrcooper.com/agent-resources.html	(from https://www.mrcooper.com/)
15:28:29	70064/70064	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:28%20GMT	https://www.mrcooper.com/forms_and_requests	./mrcooper_website/www.mrcooper.com/forms_and_requests.html	(from https://www.mrcooper.com/)
15:28:29	63/63	---MC-	302	error ('Found')	text/html	date:Fri,%2009%20May%202025%2020:28:29%20GMT	https://www.mrcooper.com/corporate_responsibility/outreach	./mrcooper_website/www.mrcooper.com/corporate_responsibility/outreach	(from https://www.mrcooper.com/)
15:28:31	156310/156310	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:30%20GMT	https://www.mrcooper.com/corporate-responsibility/outreach	./mrcooper_website/www.mrcooper.com/corporate-responsibility/outreach.html	(from https://www.mrcooper.com/)
15:28:32	57971/57971	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:31%20GMT	https://www.mrcooper.com/terms_of_use	./mrcooper_website/www.mrcooper.com/terms_of_use.html	(from https://www.mrcooper.com/)
15:28:33	62080/62080	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:32%20GMT	https://www.mrcooper.com/privacy	./mrcooper_website/www.mrcooper.com/privacy.html	(from https://www.mrcooper.com/)
15:28:34	90822/90822	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:33%20GMT	https://www.mrcooper.com/legal	./mrcooper_website/www.mrcooper.com/legal.html	(from https://www.mrcooper.com/)
15:28:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20May%202025%2020:28:34%20GMT	https://www.mrcooper.com/legal/complaints	./mrcooper_website/www.mrcooper.com/legal/complaints	(from https://www.mrcooper.com/)
15:28:37	149490/149490	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:35%20GMT	https://www.mrcooper.com/help-center/account-help/share-complaints-and-get-help	./mrcooper_website/www.mrcooper.com/help-center/account-help/share-complaints-and-get-help.html	(from https://www.mrcooper.com/)
15:28:37	26312/26312	---M--	200	added ('OK')	font/woff2	etag:W/%2266c8-1967c06b300%22	https://www.mrcooper.com/_next/static/media/Lato-Regular-Italic.463ca902.woff2	./mrcooper_website/www.mrcooper.com/_next/static/media/Lato-Regular-Italic.463ca902.woff2	(from https://www.mrcooper.com/_next/static/css/ebf3381894753392.css)
15:28:38	147771/147771	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:36%20GMT	https://www.mrcooper.com/residents	./mrcooper_website/www.mrcooper.com/residents.html	(from https://www.mrcooper.com/)
15:28:38	25636/25636	---M--	200	added ('OK')	font/woff2	etag:W/%226424-19614346038%22	https://www.mrcooper.com/_next/static/media/Lato-Black-Italic.439d1842.woff2	./mrcooper_website/www.mrcooper.com/_next/static/media/Lato-Black-Italic.439d1842.woff2	(from https://www.mrcooper.com/_next/static/css/ebf3381894753392.css)
15:28:40	182708/182708	---M--	200	added ('OK')	font/woff2	etag:W/%222c9b4-1967c06b300%22	https://www.mrcooper.com/_next/static/media/Lato-Regular.92fc6f96.woff2	./mrcooper_website/www.mrcooper.com/_next/static/media/Lato-Regular.92fc6f96.woff2	(from https://www.mrcooper.com/_next/static/css/ebf3381894753392.css)
15:28:41	184912/184912	---M--	200	added ('OK')	font/woff2	etag:W/%222d250-19614346038%22	https://www.mrcooper.com/_next/static/media/Lato-Bold.06edd0e0.woff2	./mrcooper_website/www.mrcooper.com/_next/static/media/Lato-Bold.06edd0e0.woff2	(from https://www.mrcooper.com/_next/static/css/ebf3381894753392.css)
15:28:41	26344/26344	---M--	200	added ('OK')	font/woff2	etag:W/%2266e8-1967c06b300%22	https://www.mrcooper.com/_next/static/media/Lato-Bold-Italic.a0748da0.woff2	./mrcooper_website/www.mrcooper.com/_next/static/media/Lato-Bold-Italic.a0748da0.woff2	(from https://www.mrcooper.com/_next/static/css/ebf3381894753392.css)
15:28:43	176748/176748	---M--	200	added ('OK')	font/woff2	etag:W/%222b26c-19614346038%22	https://www.mrcooper.com/_next/static/media/Lato-Black.ed67ffd5.woff2	./mrcooper_website/www.mrcooper.com/_next/static/media/Lato-Black.ed67ffd5.woff2	(from https://www.mrcooper.com/_next/static/css/ebf3381894753392.css)
15:28:44	29352/29352	---M--	200	added ('OK')	font/woff	etag:W/%2272a8-196a5586988%22	https://www.mrcooper.com/_next/static/media/Sentinel-Book.195644fc.woff	./mrcooper_website/www.mrcooper.com/_next/static/media/Sentinel-Book.195644fc.woff	(from https://www.mrcooper.com/_next/static/css/ebf3381894753392.css)
15:28:44	154876/154876	---MCZ	200	added ('OK')	font/otf	etag:W/%2225cfc-196a5586988%22	https://www.mrcooper.com/_next/static/media/Sentinel-Book.87b888bf.otf	./mrcooper_website/www.mrcooper.com/_next/static/media/Sentinel-Book.87b888bf.otf	(from https://www.mrcooper.com/_next/static/css/ebf3381894753392.css)
